117,117 Raw,118,118 Raw,59,59 Raw,63,63 Raw,id
"Digital and Technologies, Financial Services","Digital and Technologies, Financial Services",VC,VC,1818 Venture Capital Limited,1818 Venture Capital Limited,"Early Revenue, Revenue","Early Revenue, Revenue",69319c169e24cd0435b60830
"Advanced Manufacturing, Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences","Advanced Manufacturing, Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences",VC,VC,24Haymarket Limited,24Haymarket Limited,"Early Revenue, Revenue, Growth","Early Revenue, Revenue, Growth",69319c169e24cd0435b60833
"Digital and Technologies, Financial Services","Digital and Technologies, Financial Services",VC,VC,6 Degrees Capital,6 Degrees Capital,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c169e24cd0435b60836
"Clean Energy Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,ACT Venture Partners,ACT Venture Partners,"Early Revenue, Revenue, Growth","Early Revenue, Revenue, Growth",69319c169e24cd0435b60839
"Clean Energy Industries, Digital and Technologies, Advanced Manufacturing, Creative Industries, Financial Services","Clean Energy Industries, Digital and Technologies, Advanced Manufacturing, Creative Industries, Financial Services",VC,VC,ADA PARTNERS,ADA PARTNERS,"Pre-Revenue, Revenue","Pre-Revenue, Revenue",69319c169e24cd0435b6083c
"Advanced Manufacturing, Clean Energy Industries","Advanced Manufacturing, Clean Energy Industries",Accelerator / Incubator,Accelerator / Incubator,Aer Ventures,Aer Ventures,"Early Revenue, Pre-Revenue","Early Revenue, Pre-Revenue",69319c179e24cd0435b60842
"Advanced Manufacturing, Clean Energy Industries","Advanced Manufacturing, Clean Energy Industries",VC,VC,AgFunder,AgFunder,,,69319c179e24cd0435b60845
"Clean Energy Industries, Advanced Manufacturing","Clean Energy Industries, Advanced Manufacturing",Public-Private Partnership,Public-Private Partnership,AgriZeroNZ,AgriZeroNZ,"Pre-Revenue, Early Revenue, Growth","Pre-Revenue, Early Revenue, Growth",69319c179e24cd0435b60848
"Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing","Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,Albion Capital Group LLP,Albion Capital Group LLP,"Pre-Revenue, Early Revenue, Revenue, Growth","Pre-Revenue, Early Revenue, Revenue, Growth",69319c179e24cd0435b6084b
"Creative Industries, Life Sciences","Creative Industries, Life Sciences",Angel Network,Angel Network,ALMA ANGELS LTD,ALMA ANGELS LTD,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c179e24cd0435b6084e
"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,Amadeus Capital Partners Ltd,Amadeus Capital Partners Ltd,,,69319c179e24cd0435b60851
Digital and Technologies,Digital and Technologies,Angel Network,Angel Network,Angel Academe,Angel Academe,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c179e24cd0435b60854
"Digital and Technologies, Advanced Manufacturing","Digital and Technologies, Advanced Manufacturing",Angel Network,Angel Network,Angels@Essex,Angels@Essex,Pre-Revenue,Pre-Revenue,69319c179e24cd0435b60857
Life Sciences,Life Sciences,VC,VC,Antares Ventures,Antares Ventures,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c179e24cd0435b6085a
Digital and Technologies,Digital and Technologies,VC,VC,Anticus Partners,Anticus Partners,"Revenue, Growth, Early Revenue","Revenue, Growth, Early Revenue",69319c179e24cd0435b6085d
,,VC,VC,Antler Management,Antler Management,"Pre-Revenue, Early Revenue, Revenue, Growth","Pre-Revenue, Early Revenue, Revenue, Growth",69319c179e24cd0435b60860
Life Sciences,Life Sciences,VC,VC,Apollo Health Ventures,Apollo Health Ventures,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c179e24cd0435b60863
"Digital and Technologies, Life Sciences","Digital and Technologies, Life Sciences",VC,VC,Arãya Ventures,Arãya Ventures,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c179e24cd0435b60866
"Digital and Technologies, Life Sciences","Digital and Technologies, Life Sciences",Angel Network,Angel Network,Archangels,Archangels,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c179e24cd0435b60869
Digital and Technologies,Digital and Technologies,VC,VC,Ascension Ventures Limited,Ascension Ventures Limited,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c179e24cd0435b6086c
Advanced Manufacturing,Advanced Manufacturing,VC,VC,Astanor Ventures,Astanor Ventures,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c179e24cd0435b6086f
"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,Atlantic Bridge,Atlantic Bridge,"Early Revenue, Revenue, Growth","Early Revenue, Revenue, Growth",69319c179e24cd0435b60872
"Clean Energy Industries, Digital and Technologies, Advanced Manufacturing","Clean Energy Industries, Digital and Technologies, Advanced Manufacturing",VC,VC,ATLAS VENTURES SYNDICATE LIMITED,ATLAS VENTURES SYNDICATE LIMITED,Revenue,Revenue,69319c179e24cd0435b60875
Digital and Technologies,Digital and Technologies,VC,VC,Backed,Backed,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c179e24cd0435b60878
"Clean Energy Industries, Digital and Technologies","Clean Energy Industries, Digital and Technologies",Accelerator / Incubator,Accelerator / Incubator,Baltic Ventures,Baltic Ventures,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c179e24cd0435b6087b
"Advanced Manufacturing, Clean Energy Industries, Life Sciences","Advanced Manufacturing, Clean Energy Industries, Life Sciences",Corporate VC,Corporate VC,Barclays Climate Ventures,Barclays Climate Ventures,"Revenue, Growth","Revenue, Growth",69319c179e24cd0435b6087e
"Creative Industries, Advanced Manufacturing, Life Sciences, Clean Energy Industries, Financial Services","Creative Industries, Advanced Manufacturing, Life Sciences, Clean Energy Industries, Financial Services",VC,VC,BERINGEA,BERINGEA,"Revenue, Growth","Revenue, Growth",69319c179e24cd0435b60881
"Digital and Technologies, Life Sciences","Digital and Technologies, Life Sciences",VC,VC,BGF Investment Management Limited,BGF Investment Management Limited,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c179e24cd0435b60884
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,BLACKFINCH INVESTMENTS LIMITED,BLACKFINCH INVESTMENTS LIMITED,"Pre-Revenue, Early Revenue, Revenue, Growth","Pre-Revenue, Early Revenue, Revenue, Growth",69319c179e24cd0435b6088a
"Digital and Technologies, Advanced Manufacturing, Clean Energy Industries, Creative Industries, Life Sciences, Financial Services","Digital and Technologies, Advanced Manufacturing, Clean Energy Industries, Creative Industries, Life Sciences, Financial Services",VC,VC,BLACK SEED VENTURES,BLACK SEED VENTURES,"Early Revenue, Revenue, Growth","Early Revenue, Revenue, Growth",69319c179e24cd0435b60887
"Clean Energy Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,Bloc Ventures Ltd,Bloc Ventures Ltd,"Early Revenue, Revenue","Early Revenue, Revenue",69319c179e24cd0435b6088d
Digital and Technologies,Digital and Technologies,VC,VC,Blue Lake VC,Blue Lake VC,"Pre-Revenue, Early Revenue, Revenue, Growth","Pre-Revenue, Early Revenue, Revenue, Growth",69319c179e24cd0435b60890
"Life Sciences, Advanced Manufacturing","Life Sciences, Advanced Manufacturing",VC,VC,Blue Ledge Capital,Blue Ledge Capital,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c179e24cd0435b60893
"Digital and Technologies, Creative Industries, Life Sciences, Financial Services","Digital and Technologies, Creative Industries, Life Sciences, Financial Services",VC,VC,Boost Capital Partners,Boost Capital Partners,"Pre-Revenue, Early Revenue, Revenue, Growth","Pre-Revenue, Early Revenue, Revenue, Growth",69319c179e24cd0435b60896
"Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,Boundary Capital Partners LLP,Boundary Capital Partners LLP,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c179e24cd0435b60899
"Creative Industries, Clean Energy Industries, Life Sciences, Digital and Technologies","Creative Industries, Clean Energy Industries, Life Sciences, Digital and Technologies",Corporate VC,Corporate VC,bP Ventures,bP Ventures,"Revenue, Growth, Mature","Revenue, Growth, Mature",69319c179e24cd0435b6089c
"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,British Design Fund Advisors,British Design Fund Advisors,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c179e24cd0435b6089f
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",Angel Network,Angel Network,Cambridge Angels,Cambridge Angels,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c179e24cd0435b608a2
"Digital and Technologies, Life Sciences, Advanced Manufacturing","Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,Cambridge Enterprise,Cambridge Enterprise,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c179e24cd0435b608a5
"Creative Industries, Digital and Technologies, Advanced Manufacturing","Creative Industries, Digital and Technologies, Advanced Manufacturing",VC,VC,Cambridge Future Tech,Cambridge Future Tech,Pre-Revenue,Pre-Revenue,69319c179e24cd0435b608a8
"Digital and Technologies, Life Sciences, Advanced Manufacturing","Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,Cambridge innovation Capital,Cambridge innovation Capital,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c179e24cd0435b608ab
"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,Cancer Research Technology Limited,Cancer Research Technology Limited,Pre-Revenue,Pre-Revenue,69319c179e24cd0435b608ae
"Clean Energy Industries, Life Sciences, Advanced Manufacturing, Financial Services, Creative Industries","Clean Energy Industries, Life Sciences, Advanced Manufacturing, Financial Services, Creative Industries",VC,VC,Carbon13,Carbon13,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c179e24cd0435b608b1
Life Sciences,Life Sciences,VC,VC,Catapult Venture Managers Limited,Catapult Venture Managers Limited,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c179e24cd0435b608b4
"Clean Energy Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,Chrysalix Venture Capital,Chrysalix Venture Capital,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c179e24cd0435b608b7
"Advanced Manufacturing, Clean Energy Industries","Advanced Manufacturing, Clean Energy Industries",VC,VC,Cibus Capital LLP,Cibus Capital LLP,"Revenue, Growth, Mature, Exit Ready","Revenue, Growth, Mature, Exit Ready",69319c179e24cd0435b608ba
"Advanced Manufacturing, Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences","Advanced Manufacturing, Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences","Angel Network, VC","Angel Network, VC",Clarendon Fund Managers Limited,Clarendon Fund Managers Limited,"Early Revenue, Revenue, Growth","Early Revenue, Revenue, Growth",69319c179e24cd0435b608bd
"Digital and Technologies, Life Sciences, Advanced Manufacturing","Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,Clay Capital (formerly Vis Vires New Protein),Clay Capital (formerly Vis Vires New Protein),"Pre-Revenue, Early Revenue, Revenue, Growth","Pre-Revenue, Early Revenue, Revenue, Growth",69319c179e24cd0435b608c0
"Clean Energy Industries, Digital and Technologies, Advanced Manufacturing","Clean Energy Industries, Digital and Technologies, Advanced Manufacturing",VC,VC,Clean Energy Ventures,Clean Energy Ventures,"Early Revenue, Revenue, Growth","Early Revenue, Revenue, Growth",69319c179e24cd0435b608c3
"Clean Energy Industries, Advanced Manufacturing, Creative Industries, Life Sciences, Digital and Technologies, Financial Services","Clean Energy Industries, Advanced Manufacturing, Creative Industries, Life Sciences, Digital and Technologies, Financial Services",VC,VC,CLEAN GROWTH FUND,CLEAN GROWTH FUND,,,69319c179e24cd0435b608c6
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,Committed Capital Financial Services,Committed Capital Financial Services,,,69319c179e24cd0435b608c9
"Digital and Technologies, Financial Services, Life Sciences, Advanced Manufacturing","Digital and Technologies, Financial Services, Life Sciences, Advanced Manufacturing",VC,VC,Concept Ventures,Concept Ventures,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c189e24cd0435b608cc
"Clean Energy Industries, Life Sciences","Clean Energy Industries, Life Sciences",VC,VC,Conduit connect,Conduit connect,"Early Revenue, Revenue","Early Revenue, Revenue",69319c189e24cd0435b608cf
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Defence and Security, Advanced Manufacturing",VC,VC,Constructor Capital I GP Ltd.,Constructor Capital I GP Ltd.,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c189e24cd0435b608d2
"Digital and Technologies, Life Sciences, Clean Energy Industries, Advanced Manufacturing","Digital and Technologies, Life Sciences, Clean Energy Industries, Advanced Manufacturing",VC,VC,CORNERSTONE VENTURES,CORNERSTONE VENTURES,"Early Revenue, Revenue","Early Revenue, Revenue",69319c189e24cd0435b608d5
"Clean Energy Industries, Digital and Technologies, Advanced Manufacturing","Clean Energy Industries, Digital and Technologies, Advanced Manufacturing",Family Office,Family Office,Cottagequinn Enterprises Ltd,Cottagequinn Enterprises Ltd,,,69319c189e24cd0435b608d8
"Clean Energy Industries, Creative Industries, Advanced Manufacturing, Financial Services","Clean Energy Industries, Creative Industries, Advanced Manufacturing, Financial Services",VC,VC,Counteract Partners,Counteract Partners,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c189e24cd0435b608db
"Clean Energy Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,CPT Capital LLP,CPT Capital LLP,"Pre-Revenue, Early Revenue, Revenue, Growth","Pre-Revenue, Early Revenue, Revenue, Growth",69319c189e24cd0435b608de
Creative Industries,Creative Industries,VC,VC,Creative UK,Creative UK,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c189e24cd0435b608e1
"Advanced Manufacturing, Clean Energy Industries, Defence and Security, Digital and Technologies, Financial Services, Life Sciences","Advanced Manufacturing, Clean Energy Industries, Defence and Security, Digital and Technologies, Financial Services, Life Sciences",VC,VC,Creator Fund,Creator Fund,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c189e24cd0435b60938
"Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",Angel Network,Angel Network,Daring Capital,Daring Capital,,,69319c189e24cd0435b608e4
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,Deepbridge Capital,Deepbridge Capital,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c189e24cd0435b608ea
"Advanced Manufacturing, Clean Energy Industries, Life Sciences","Advanced Manufacturing, Clean Energy Industries, Life Sciences",VC,VC,DEEP SCIENCE VENTURES,DEEP SCIENCE VENTURES,,,69319c189e24cd0435b608e7
"Advanced Manufacturing, Clean Energy Industries, Digital and Technologies, Professional and Business Services","Advanced Manufacturing, Clean Energy Industries, Digital and Technologies, Professional and Business Services",VC,VC,Deeptech Seed Fund,Deeptech Seed Fund,Pre-Revenue,Pre-Revenue,69319c189e24cd0435b608ed
Life Sciences,Life Sciences,VC,VC,Delin Ventures Advisors,Delin Ventures Advisors,"Early Revenue, Revenue","Early Revenue, Revenue",69319c189e24cd0435b608f0
"Clean Energy Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",Corporate VC,Corporate VC,Development Bank of Wales,Development Bank of Wales,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c189e24cd0435b608f3
"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,Diffusion Capital ,Diffusion Capital ,"Early Revenue, Revenue","Early Revenue, Revenue",69319c189e24cd0435b608f6
"Creative Industries, Digital and Technologies","Creative Industries, Digital and Technologies",VC,VC,DSW Venture Capital LLP,DSW Venture Capital LLP,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c189e24cd0435b608f9
"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing",Family Office,Family Office,EARLYMARKET,EARLYMARKET,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c189e24cd0435b608fc
"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,East Innovate Ltd,East Innovate Ltd,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c189e24cd0435b608ff
Clean Energy Industries,Clean Energy Industries,Angel Network,Angel Network,Ebico,Ebico,Growth,Growth,69319c189e24cd0435b60902
"Creative Industries, Digital and Technologies, Defence and Security, Advanced Manufacturing","Creative Industries, Digital and Technologies, Defence and Security, Advanced Manufacturing",VC,VC,Edge VC (Create the Future),Edge VC (Create the Future),"Early Revenue, Revenue","Early Revenue, Revenue",69319c189e24cd0435b60905
"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,EHE Venture Studio & AI Fund,EHE Venture Studio & AI Fund,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c189e24cd0435b60908
