Year,Loan Yrs,Revenue,COGS,Gross Profit,EBITDA,Depreciation,EBIT,Interest,EBT,Tax (25%),Net Income,Operating CF,Principal,Financing CF,Free Cash,Cum Cash,CF Negative,Battery NBV,Total Assets,Loan Balance,Retained Earn,BS Check
1,3,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,264.54400000000004,80.20198918185082,20.050497295462705,60.151491886388115,438.07149188638806,1259.7333333333333,-1259.7333333333333,-821.6618414469453,-821.6618414469453,True,3401.2799999999997,2579.6181585530544,2519.4666666666662,60.151491886388115,4.263256414560601e-14
2,3,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,176.36266666666666,168.3833225151842,42.09583062879605,126.28749188638815,504.2074918863881,1259.7333333333333,-1259.7333333333333,-755.5258414469453,-1577.1876828938907,True,3023.3599999999997,1446.172317106109,1259.733333333333,186.43898377277628,-2.2737367544323206e-13
3,3,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,88.18133333333331,256.56465584851753,64.14116396212938,192.42349188638815,570.3434918863882,1259.733333333333,-1259.733333333333,-689.3898414469447,-2266.577524340835,True,2645.44,378.86247565916483,0.0,378.86247565916443,3.979039320256561e-13
4,3,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,0.0,344.74598918185086,86.18649729546271,258.5594918863882,636.4794918863881,0.0,-0.0,636.4794918863881,-1630.098032454447,False,2267.52,637.4219675455529,0.0,637.4219675455527,2.2737367544323206e-13
5,3,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,0.0,344.74598918185086,86.18649729546271,258.5594918863882,636.4794918863881,0.0,-0.0,636.4794918863881,-993.618540568059,False,1889.6,895.981459431941,0.0,895.9814594319408,1.1368683772161603e-13
6,3,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,0.0,344.74598918185086,86.18649729546271,258.5594918863882,636.4794918863881,0.0,-0.0,636.4794918863881,-357.13904868167083,False,1511.6800000000003,1154.5409513183295,0.0,1154.540951318329,4.547473508864641e-13
7,3,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,0.0,344.74598918185086,86.18649729546271,258.5594918863882,636.4794918863881,0.0,-0.0,636.4794918863881,279.3404432047173,False,1133.7600000000002,1413.1004432047175,0.0,1413.100443204717,4.547473508864641e-13
8,3,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,0.0,344.74598918185086,86.18649729546271,258.5594918863882,636.4794918863881,0.0,-0.0,636.4794918863881,915.8199350911054,False,755.8400000000001,1671.6599350911056,0.0,1671.6599350911051,4.547473508864641e-13
9,3,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,0.0,344.74598918185086,86.18649729546271,258.5594918863882,636.4794918863881,0.0,-0.0,636.4794918863881,1552.2994269774936,False,377.9200000000001,1930.2194269774936,0.0,1930.2194269774932,4.547473508864641e-13
10,3,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,0.0,344.74598918185086,86.18649729546271,258.5594918863882,636.4794918863881,0.0,-0.0,636.4794918863881,2188.7789188638817,False,0.0,2188.7789188638817,0.0,2188.7789188638812,4.547473508864641e-13
1,4,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,264.54400000000004,80.20198918185082,20.050497295462705,60.151491886388115,438.07149188638806,944.8,-944.8,-506.7285081136119,-506.7285081136119,True,3401.2799999999997,2894.551491886388,2834.3999999999996,60.151491886388115,4.263256414560601e-14
2,4,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,198.408,146.33798918185087,36.58449729546272,109.75349188638816,487.6734918863881,944.8,-944.8,-457.12650811361186,-963.8550162272238,True,3023.3599999999997,2059.5049837727756,1889.5999999999997,169.9049837727763,-3.410605131648481e-13
3,4,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,132.272,212.47398918185087,53.11849729546272,159.35549188638817,537.2754918863882,944.8,-944.8,-407.5245081136118,-1371.3795243408356,True,2645.44,1274.0604756591645,944.7999999999997,329.26047565916446,2.8421709430404007e-13
4,4,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,66.13599999999998,278.6099891818509,69.65249729546272,208.95749188638817,586.8774918863882,944.7999999999997,-944.7999999999997,-357.92250811361157,-1729.3020324544473,True,2267.52,538.2179675455527,0.0,538.2179675455526,1.1368683772161603e-13
5,4,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,0.0,344.74598918185086,86.18649729546271,258.5594918863882,636.4794918863881,0.0,-0.0,636.4794918863881,-1092.8225405680591,False,1889.6,796.7774594319408,0.0,796.7774594319408,0.0
6,4,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,0.0,344.74598918185086,86.18649729546271,258.5594918863882,636.4794918863881,0.0,-0.0,636.4794918863881,-456.343048681671,False,1511.6800000000003,1055.3369513183293,0.0,1055.3369513183288,4.547473508864641e-13
7,4,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,0.0,344.74598918185086,86.18649729546271,258.5594918863882,636.4794918863881,0.0,-0.0,636.4794918863881,180.13644320471712,False,1133.7600000000002,1313.8964432047173,0.0,1313.896443204717,4.547473508864641e-13
8,4,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,0.0,344.74598918185086,86.18649729546271,258.5594918863882,636.4794918863881,0.0,-0.0,636.4794918863881,816.6159350911053,False,755.8400000000001,1572.4559350911054,0.0,1572.455935091105,4.547473508864641e-13
9,4,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,0.0,344.74598918185086,86.18649729546271,258.5594918863882,636.4794918863881,0.0,-0.0,636.4794918863881,1453.0954269774934,False,377.9200000000001,1831.0154269774935,0.0,1831.015426977493,4.547473508864641e-13
10,4,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,0.0,344.74598918185086,86.18649729546271,258.5594918863882,636.4794918863881,0.0,-0.0,636.4794918863881,2089.5749188638815,False,0.0,2089.5749188638815,0.0,2089.574918863881,4.547473508864641e-13
1,5,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,264.54400000000004,80.20198918185082,20.050497295462705,60.151491886388115,438.07149188638806,755.8399999999999,-755.8399999999999,-317.76850811361186,-317.76850811361186,True,3401.2799999999997,3083.511491886388,3023.3599999999997,60.151491886388115,4.263256414560601e-14
2,5,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,211.6352,133.11078918185086,33.277697295462715,99.83309188638815,477.7530918863881,755.8399999999999,-755.8399999999999,-278.0869081136118,-595.8554162272237,True,3023.3599999999997,2427.5045837727757,2267.5199999999995,159.98458377277626,-5.684341886080802e-14
3,5,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,158.72639999999998,186.01958918185088,46.50489729546272,139.51469188638816,517.4346918863881,755.8399999999999,-755.8399999999999,-238.4053081136118,-834.2607243408355,True,2645.44,1811.1792756591644,1511.6799999999996,299.4992756591644,3.979039320256561e-13
4,5,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,105.81759999999998,238.9283891818509,59.73209729546272,179.19629188638817,557.1162918863881,755.8399999999999,-755.8399999999999,-198.7237081136118,-1032.9844324544474,True,2267.52,1234.5355675455526,755.8399999999997,478.6955675455526,2.8421709430404007e-13
5,5,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,52.908799999999985,291.8371891818509,72.95929729546272,218.87789188638817,596.7978918863881,755.8399999999997,-755.8399999999997,-159.04210811361156,-1192.0265405680589,True,1889.6,697.573459431941,0.0,697.5734594319408,2.2737367544323206e-13
6,5,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,0.0,344.74598918185086,86.18649729546271,258.5594918863882,636.4794918863881,0.0,-0.0,636.4794918863881,-555.5470486816707,False,1511.6800000000003,956.1329513183296,0.0,956.132951318329,5.684341886080801e-13
7,5,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,0.0,344.74598918185086,86.18649729546271,258.5594918863882,636.4794918863881,0.0,-0.0,636.4794918863881,80.9324432047174,False,1133.7600000000002,1214.6924432047176,0.0,1214.6924432047172,4.547473508864641e-13
8,5,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,0.0,344.74598918185086,86.18649729546271,258.5594918863882,636.4794918863881,0.0,-0.0,636.4794918863881,717.4119350911055,False,755.8400000000001,1473.2519350911057,0.0,1473.2519350911052,4.547473508864641e-13
9,5,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,0.0,344.74598918185086,86.18649729546271,258.5594918863882,636.4794918863881,0.0,-0.0,636.4794918863881,1353.8914269774937,False,377.9200000000001,1731.8114269774937,0.0,1731.8114269774933,4.547473508864641e-13
10,5,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,0.0,344.74598918185086,86.18649729546271,258.5594918863882,636.4794918863881,0.0,-0.0,636.4794918863881,1990.3709188638818,False,0.0,1990.3709188638818,0.0,1990.3709188638813,4.547473508864641e-13
